dt,j1,j2,j3,j4,j5,j6,gripper_m
4.5835,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.6341,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.6843,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.7348,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.7851,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.8354,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.8857,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.9361,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.9865,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.0368,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.087,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.1373,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.1876,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.238,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.2883,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.3385,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.3889,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.4395,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.49,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.5401,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.5904,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.6409,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.6911,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.7415,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.7917,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.8421,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.8924,0.009495,-0.028833,-0.057875,-0.041853,-0.189089,0.331944,0.0
5.9426,0.009495,-0.028833,-0.071244,-0.041853,-0.189089,0.331944,0.0
5.9931,0.009495,-0.019408,-0.093235,-0.041853,-0.186436,0.331944,0.0
6.0437,0.009495,0.0,-0.129818,-0.041853,-0.179193,0.331944,0.0
6.0941,0.009495,0.036844,-0.178861,-0.041853,-0.155264,0.331944,0.0
6.1445,0.009495,0.079378,-0.236457,-0.041853,-0.107547,0.331944,0.0
6.195,0.009495,0.12994,-0.309901,-0.041853,-0.059551,0.331944,0.0
6.2453,0.009495,0.185546,-0.379243,-0.041853,-0.009913,0.331944,0.0
6.2956,0.009495,0.251956,-0.451237,-0.041853,0.043249,0.331944,0.0
6.3458,0.009495,0.310197,-0.534664,-0.041853,0.10547,0.331944,0.0
6.3962,0.009495,0.366676,-0.605577,-0.041853,0.188775,0.331944,0.0
6.4465,0.009495,0.421986,-0.672353,-0.041853,0.269618,0.331944,0.0
6.4969,0.009495,0.48398,-0.734103,-0.041853,0.353359,0.331944,0.0
6.5472,0.009495,0.535223,-0.789727,-0.041853,0.44546,0.331944,0.0
6.5974,0.009495,0.58472,-0.837322,-0.041853,0.516879,0.331944,0.0
6.6478,0.009495,0.630465,-0.879122,-0.041853,0.573463,0.331944,0.0
6.6982,0.009495,0.673837,-0.904447,-0.041853,0.62118,0.331944,0.0
