timestamp,topic,payload_raw,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,j1,j2,j3,j4,j5,j6,linear,angular,gripper_value,event
2026-05-23T21:37:05.857,robot/gripper,g 0.3,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.936,robot/gripper,g 0.26,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:06.022,robot/gripper,g 0.2,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:06.096,robot/gripper,g 0.15,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:06.178,robot/gripper,g 0.13,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:06.265,robot/gripper,g 0.03,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:06.316,robot/gripper,g 0.03,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:06.752,robot/gripper,g 0.03,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:06.756,robot/gripper,g 0.03,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:06.810,robot/gripper,g 0.05,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:06.858,robot/gripper,g 0.05,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:06.918,robot/gripper,g 0.05,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:07.340,robot/gripper,g 0.08,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:07.344,robot/gripper,g 0.08,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:07.385,robot/gripper,g 0.1,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:07.432,robot/gripper,g 0.1,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:07.729,robot/gripper,g 0.1,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:07.731,robot/gripper,g 0.18,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:07.761,robot/gripper,g 0.24,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:07.845,robot/gripper,g 0.24,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.030,robot/gripper,g 0.24,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.034,robot/gripper,g 0.24,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.076,robot/gripper,g 0.2,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.130,robot/gripper,g 0.16,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.222,robot/gripper,g 0.1,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.226,robot/gripper,g 0.03,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.315,robot/gripper,g 0.32,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
